VF,giff,num_vehicles,alpha,beta,delta,alpha_d,Fairness Type (GIFF),SR,Metric (P),Metric (D),pair SR mean,pair SR min,source SR mean,source SR min,driver mean,driver min
pathnn,True,1000,0.0,0.99999,0.0,1.0,variance,0.8166097485253027,-0.012045566298046312,-31.846763999999997,0.7002668422123463,0.43478260869565216,0.7729979488848182,0.607167955024596,52.606,32.0
pathnn,True,1000,0.0,0.99995,0.0,1.0,variance,0.8242005588326606,-0.019660485521113904,-26.961975000000002,0.6710598652770008,0.265625,0.7726958514089459,0.6191145467322557,53.095,32.0
pathnn,True,1000,0.0,0.9999,0.0,1.0,variance,0.8193418193107731,-0.026852137496980177,-24.170476,0.6317038843131555,0.1875,0.7487238656341222,0.5853829936753338,52.782,34.0
pathnn,True,1000,0.0,0.999999,0.0,1.0,variance,0.768115492083204,-0.009949602232543322,-34.355676,0.6964054961918444,0.4375,0.7409735777728551,0.5987350667603655,49.482,30.0
pathnn,True,1000,0.0,0.9999995,0.0,1.0,variance,0.7531822415398944,-0.009476747708554282,-32.1996,0.6851556011120891,0.4117647058823529,0.7370304829207,0.5776528460997892,48.52,33.0
pathnn,True,1000,0.1,0.99995,0.0,1.0,variance,0.5276777398323502,-0.02550826408032413,-25.984951000000002,0.6023507838008981,0.2862055789071456,0.559658879467329,0.35938216852729776,33.993,19.0
pathnn,True,1000,0.1,0.9999,0.0,1.0,variance,0.47382800372555106,-0.025970935754221734,-19.979424,0.6199620178929623,0.2660032275416891,0.5586465703173185,0.3717206645117643,30.524,13.0
pathnn,True,1000,0.1,0.99999,0.0,1.0,variance,0.4903446134740764,-0.024266812606302087,-22.778256000000003,0.6216461656901652,0.2692307692307692,0.571448931182035,0.3757047282567842,31.588,18.0
pathnn,True,1000,0.1,0.99999,0.0,1.0,variance,0.4903446134740764,-0.024266812606302087,-22.778256000000003,0.6216461656901652,0.2692307692307692,0.571448931182035,0.3757047282567842,31.588,18.0
pathnn,True,1000,0.1,0.999995,0.0,1.0,variance,0.5200248370071406,-0.023812752977574597,-24.782,0.6075557625418668,0.27569736339319834,0.5621395386588409,0.3580058112861294,33.5,19.0
pathnn,True,1000,0.1,0.999999,0.0,1.0,variance,0.48109282831418815,-0.02641471487205972,-20.053935999999997,0.6141177785090799,0.2837218188765762,0.5557516147893159,0.3700871692919407,30.992,18.0
pathnn,True,1000,0.1,0.9999995,0.0,1.0,variance,0.47446445203352994,-0.02574105785834546,-20.709775,0.6218165829117531,0.2668101129639591,0.5543552357508114,0.3745985624713259,30.565,18.0
pathnn,True,1000,0.1,0.9999995,0.0,1.0,variance,0.47446445203352994,-0.02574105785834546,-20.709775,0.6218165829117531,0.2668101129639591,0.5543552357508114,0.3745985624713259,30.565,18.0
pathnn,True,1000,0.0,0.0,0.0,1.0,variance,0.8063179136914002,-0.11062775683170951,-18.393751000000005,0.4340408741421291,0.0,0.6948080040971993,0.4008746355685131,51.943,37.0
pathnn,True,1000,0.0,0.1,0.0,1.0,variance,0.8083203973921143,-0.10846587973003595,-19.750815999999997,0.4400126892206368,0.0,0.7030259800364412,0.4518950437317784,52.072,38.0
pathnn,True,1000,0.0,0.2,0.0,1.0,variance,0.8061161130083825,-0.10755085348631085,-19.913100000000004,0.4366717620747269,0.0,0.6944399240610231,0.42419825072886297,51.93,40.0
pathnn,True,1000,0.0,0.5,0.0,1.0,variance,0.808677429369761,-0.10938164697679202,-21.321975000000005,0.4354316430780118,0.0,0.6930829405482501,0.3498542274052478,52.095,39.0
pathnn,True,1000,0.0,0.9,0.0,1.0,variance,0.8075752871778951,-0.10769070200977113,-20.279424,0.4449743153428816,0.0,0.7005263849496405,0.44314868804664725,52.024,39.0
pathnn,True,1000,0.0,0.95,0.0,1.0,variance,0.8067836075752872,-0.10704309156970222,-19.078271,0.4385085504060722,0.0,0.6935735344655588,0.43731778425655976,51.973,37.0
pathnn,True,1000,0.0,0.99,0.0,1.0,variance,0.8131791369140019,-0.0969256258594993,-18.200775,0.4729961320129009,0.0,0.7186435796930413,0.5116618075801749,52.385,38.0
pathnn,True,1000,0.0,0.999,0.0,1.0,variance,0.8137069233157405,-0.06666788490644227,-20.629438999999998,0.51965634738426,0.08854166666666667,0.7246597074170779,0.5553935860058309,52.419,37.0
pathnn,True,1000,0.0,0.995,0.0,1.0,variance,0.8112387457311394,-0.08968825923451003,-19.4584,0.47778143820046276,0.0,0.7088233096915924,0.446064139941691,52.26,37.0
pathnn,True,1000,0.0,0.9995,0.0,1.0,variance,0.8156938838869916,-0.05462240752910991,-21.019790999999998,0.548845198688535,0.13020833333333334,0.7290781418203047,0.5685131195335277,52.547,38.0
pathnn,True,1000,0.0,1.0,0.0,1.0,variance,0.462853151195281,-0.0008258088065847546,-18.825511000000002,0.45837983981052044,0.35294117647058826,0.4618042386331435,0.45748418833450455,29.817,15.0
pathnn,True,1000,0.1,0.0,0.0,1.0,variance,0.8063179136914002,-0.11062775683170951,-18.393751000000005,0.4340408741421291,0.0,0.6948080040971993,0.4008746355685131,51.943,37.0
pathnn,True,1000,0.1,0.1,0.0,1.0,variance,0.8075442409189693,-0.11109523983340022,-18.791515999999998,0.43151200376279386,0.0,0.6924300303002968,0.36588921282798836,52.022,39.0
pathnn,True,1000,0.1,0.2,0.0,1.0,variance,0.809127600124185,-0.10738160306986483,-20.626624,0.444455965307901,0.0,0.6996207273089626,0.42565597667638483,52.124,37.0
pathnn,True,1000,0.1,0.99,0.0,1.0,variance,0.7688140329090345,-0.015577602038778478,-38.75527100000001,0.6357731928528064,0.4454828660436137,0.7168348738424583,0.5115952213633169,49.527,32.0
pathnn,True,1000,0.1,0.95,0.0,1.0,variance,0.8085842905929835,-0.04481247330087179,-27.781079000000005,0.566283018499731,0.23404255319148937,0.7375951996781949,0.5991253644314869,52.089,32.0
pathnn,True,1000,0.1,0.9,0.0,1.0,variance,0.8118596709096554,-0.07354117940270373,-19.874,0.5040179764079927,0.047619047619047616,0.7140032006876431,0.45918367346938777,52.3,36.0
pathnn,True,1000,0.1,0.5,0.0,1.0,variance,0.8129618131015213,-0.1076046003593681,-19.941359000000002,0.4556456661263788,0.0,0.7133612809462432,0.478134110787172,52.371,39.0
pathnn,True,1000,0.1,0.995,0.0,1.0,variance,0.7207854703508227,-0.01684534843784307,-39.595511,0.6271527563509343,0.4218181818181818,0.67879780534448,0.4459076748796375,46.433,27.0
pathnn,True,1000,0.1,0.999,0.0,1.0,variance,0.619978267618752,-0.019464909184188302,-31.577279,0.6201267432400435,0.288498280473825,0.6140987837167811,0.3746750267625019,39.939,25.0
pathnn,False,1000,0.0,0.0,0.1,0.0,variance,0.8077615647314499,-0.10980329855110971,-18.474704000000003,0.43234811625830016,0.0,0.6898028187927576,0.3454810495626822,52.036,40.0
pathnn,False,1000,0.0,0.0,0.2,0.0,variance,0.8093449239366657,-0.10987175687967832,-16.678956000000003,0.4379289686810711,0.0,0.6956841429459086,0.41253644314868804,52.138,40.0
pathnn,True,1000,0.1,0.9995,0.0,1.0,variance,0.5332350201800683,-0.02375919482677425,-25.323798999999998,0.6154196362519304,0.26748184944593045,0.5745939365507102,0.3505887750420554,34.351,20.0
pathnn,True,1000,0.0,0.0,0.0,0.0,variance,0.8063179136914002,-0.11062775683170951,-18.393751000000005,0.4340408741421291,0.0,0.6948080040971993,0.4008746355685131,51.943,37.0
pathnn,False,1000,0.0,0.0,0.5,0.0,variance,0.8098882334678671,-0.10833306360912376,-13.811071000000002,0.44384641288340465,0.0,0.7021019208399553,0.4489795918367347,52.173,41.0
pathnn,False,1000,0.0,0.0,1.0,0.0,variance,0.812682396771189,-0.10777748119099659,-10.364391000000001,0.4451500827893332,0.0,0.6991645841089702,0.35714285714285715,52.353,44.0
pathnn,False,1000,0.0,0.0,5.0,0.0,variance,0.8183017696367588,-0.10811187070385278,-5.3877749999999995,0.46698280941043835,0.0,0.7218701890560084,0.5043731778425656,52.715,42.0
pathnn,False,1000,0.0,0.0,2.0,0.0,variance,0.814871158025458,-0.10731488990220257,-8.061963999999998,0.456164335798445,0.0,0.709416411234982,0.4489795918367347,52.494,42.0
pathnn,False,1000,0.0,0.0,20.0,0.0,variance,0.8162061471592673,-0.07524811386161571,-12.643600000000003,0.523927714651991,0.0,0.7271393113327129,0.5,52.58,35.0
pathnn,False,1000,0.0,0.0,10.0,0.0,variance,0.8206147159267309,-0.09833457285528435,-6.543504,0.48623723312168415,0.0,0.722452684301854,0.4679300291545189,52.864,34.0
pathnn,False,1000,0.0,0.0,0.0,1.0,variance,0.8063179136914002,-0.11062775683170951,-18.393751000000005,0.4340408741421291,0.0,0.6948080040971993,0.4008746355685131,51.943,37.0
pathnn,False,1000,0.0,0.0,0.1,1.0,variance,0.8062247749146227,-0.1092700020173488,-18.019031000000002,0.4357259993019176,0.0,0.6924953906110949,0.41253644314868804,51.937,39.0
pathnn,False,1000,0.0,0.0,0.2,1.0,variance,0.8076218565662837,-0.1084536820381999,-15.196271000000005,0.43624141130458954,0.0,0.6891208236171317,0.37755102040816324,52.027,40.0
pathnn,False,1000,0.0,0.0,0.5,1.0,variance,0.8074821484011176,-0.10902626344484175,-10.787676000000003,0.4338854801312892,0.0,0.6897835193540738,0.4037900874635568,52.018,43.0
pathnn,False,1000,0.0,0.0,1.0,1.0,variance,0.807901272896616,-0.10203972003244444,-7.064975000000001,0.4499945956463364,0.0,0.6973793228442888,0.42419825072886297,52.045,41.0
pathnn,False,1000,0.0,0.0,2.0,1.0,variance,0.8101366035392735,-0.10941049439685385,-4.5792790000000005,0.44259893045185444,0.0,0.6994235180595696,0.41253644314868804,52.189,45.0
pathnn,False,1000,0.0,0.0,5.0,1.0,variance,0.8067059919279727,-0.10226099578365626,-2.780976000000001,0.45155645567758707,0.0,0.6982378498204401,0.42128279883381925,51.968,45.0
pathnn,False,1000,0.0,0.0,10.0,1.0,variance,0.8009158646383111,-0.10082640470621225,-2.7729749999999997,0.4429333251422284,0.0,0.6886103178249519,0.40524781341107874,51.595,40.0
pathnn,False,1000,0.0,0.0,20.0,1.0,variance,0.7813411983855946,-0.08456649392700097,-4.918444000000001,0.44433223734274974,0.0,0.6646487765064426,0.36588921282798836,50.334,33.0
pathnn,True,1000,0.0,0.0,0.0,0.0,variance,0.8063179136914002,-0.11062775683170951,-18.393751000000005,0.4340408741421291,0.0,0.6948080040971993,0.4008746355685131,51.943,37.0
pathnn,True,1000,0.0,0.0,0.1,0.0,variance,0.8087239987581496,-0.10907748065232048,-18.168396,0.4417065795911302,0.0,0.6952418424433344,0.39504373177842567,52.098,39.0
pathnn,True,1000,0.0,0.0,0.2,0.0,variance,0.8115492083203973,-0.10974723333072343,-18.401599999999995,0.44324555832588086,0.0,0.7024514140039008,0.3979591836734694,52.28,39.0
pathnn,True,1000,0.0,0.0,0.5,0.0,variance,0.808972368829556,-0.11127054450139305,-14.975003999999998,0.43301783237703706,0.0,0.6959306650332395,0.40524781341107874,52.114,40.0
pathnn,True,1000,0.0,0.0,0.9,0.0,variance,0.8078547035082273,-0.10350945212284428,-4.822235999999999,0.4460683430467413,0.0,0.6936934602261684,0.3979591836734694,52.042,45.0
pathnn,True,1000,0.0,0.0,0.995,0.0,variance,0.7911052468177585,-0.10365011527728289,-1.147631,0.4301164736941799,0.0,0.6762108014159143,0.43528018942383584,50.963,44.0
pathnn,True,1000,0.0,0.0,0.99,0.0,variance,0.802002483700714,-0.10645724965056425,-1.2447750000000002,0.434156559999836,0.0,0.6891148330059219,0.42128279883381925,51.665,48.0
pathnn,True,1000,0.0,0.0,0.95,0.0,variance,0.8055883266066439,-0.10792273566344072,-2.995183999999999,0.4340765362231684,0.0,0.6924885254947873,0.4227405247813411,51.896,46.0
pathnn,True,1000,0.0,0.0,0.999,0.0,variance,0.7527631170443961,-0.08762952470145456,-0.679951,0.4473506899110289,0.0,0.6651288304570917,0.5200281096275474,48.493,42.0
pathnn,True,1000,0.0,0.0,1.0,0.0,variance,0.6560695436199938,-0.059695755466824305,-0.47830399999999995,0.49484197447452116,0.0,0.6422785431477709,0.5364431486880467,42.264,38.0
pathnn,True,1000,0.0,0.0,0.9995,0.0,variance,0.7270257683949084,-0.07648602284543567,-0.6097749999999998,0.4680481662647389,0.0,0.6629728585742998,0.5145772594752187,46.835,43.0
pathnn,True,1000,0.0,0.0,0.1,1.0,variance,0.8069854082583049,-0.10335933340228842,-19.699804000000004,0.44375954056747036,0.0,0.691864360008141,0.3892128279883382,51.986,36.0
pathnn,True,1000,0.0,0.0,0.5,1.0,variance,0.8097950946910897,-0.10916359435365416,-17.271111,0.4440515314657821,0.0,0.704676685597112,0.45481049562682213,52.167,39.0
pathnn,True,1000,0.0,0.0,0.2,1.0,variance,0.8077305184725241,-0.10851742708555233,-18.506843999999997,0.440537780809135,0.0,0.6981415400605966,0.38338192419825073,52.034,38.0
pathnn,True,1000,0.0,0.0,0.9,1.0,variance,0.8093294008072027,-0.10570569287413437,-9.238230999999999,0.44662271921761704,0.0,0.696644718156798,0.40524781341107874,52.137,44.0
pathnn,True,1000,0.0,0.0,0.95,1.0,variance,0.8073890096243402,-0.10839963732846375,-6.139856000000002,0.4420058553187711,0.0,0.6989822419104438,0.44169096209912534,52.012,46.0
pathnn,True,1000,0.0,0.0,0.995,1.0,variance,0.8040670599192797,-0.10596614835886,-1.6411959999999999,0.4475218981113904,0.0,0.6948945454318523,0.4402332361516035,51.798,46.0
pathnn,True,1000,0.0,0.0,0.99,1.0,variance,0.8039273517541137,-0.10686427735888714,-2.3464790000000004,0.43647128169056754,0.0,0.6899823541656428,0.3819241982507289,51.789,47.0
pathnn,True,1000,0.0,0.0,0.99,1.0,variance,0.8039273517541137,-0.10686427735888714,-2.3464790000000004,0.43647128169056754,0.0,0.6899823541656428,0.3819241982507289,51.789,47.0
pathnn,True,1000,0.0,0.0,0.999,1.0,variance,0.7732381248059609,-0.08270155393684872,-2.388656,0.5170972651197523,0.0,0.732840322613388,0.5931131412508784,49.812,44.0
pathnn,True,1000,0.0,0.0,0.9995,1.0,variance,0.7345700093138777,-0.06884998494407629,-2.2519589999999994,0.524717962033029,0.0,0.7075210859102885,0.5762473647224174,47.321,43.0
pathnn,True,1000,0.0,0.0,1.0,1.0,variance,0.580487426265135,-0.05721591215119396,-0.494975,0.4488514194351453,0.0,0.5849262838186657,0.4387755102040816,37.395,35.0
pathnn,True,1000,0.0,0.0,1.0,1.0,variance,0.580487426265135,-0.05721591215119396,-0.494975,0.4488514194351453,0.0,0.5849262838186657,0.4387755102040816,37.395,35.0
